113,Acura,Tsx sportwagon,2012,30
112,Acura,TL,2008,28
15,Audi,S4,2014,26
65,Honda,Fit,2009,26
128,Infiniti,G37,2010,26
175,Honda,Civic,2006,26
31,Honda,Fit,2007,24
83,Honda,Accord,2014,24
91,Mitsu,Lancer,2010,24
124,Jeep,Wrangler,2015,24
126,Volkswagen,Eos,2010,24
13,Honda,Civic 1.5t,2016,22
63,Honda,Civic,2010,22
30,Hyundai,Celoster,2012,20
57,Scion,Frs,2015,20
127,Acura,Tsx,2013,20
216,Chrystler,300,2007,20
228,Nissan,370,2010,20
6,Volkswagen,Golf r,2016,18
50,Acura,TLX,2015,18
123,Lexus,Sc430,2006,18
3,Nissan,370,2011,16
25,Mercedes,C250,2012,16
36,Subaru,WRX,2016,16
38,Hyundai,Elantra sport,2017,16
84,Mercedes,Cl63amg,2012,16
180,Volkswagen,Gti,2011,16
218,Chevy,Camaro,2010,16
1051,Acura,Tsx,2006,16
21,Subaru,WRX,2009,14
37,Subaru,Sti,2015,14
39,Honda,Civic,2011,14
41,Acura,Tsx,2012,14
48,Acura,TLX,2015,14
104,Honda,Civic si,2014,14
106,Acura,Tl type s,2007,14
137,Ford,Focus rs,2017,14
179,Volkswagen,R32,2004,14
12,Nissan,240,1990,12
33,Subaru,Sti,2015,12
35,Honda,Civic,2016,12
43,Toyota,4 Runner,2011,12
44,Honda,Civic si,2018,12
49,Acura,Integra,1997,12
103,Acura,Tsx,2010,12
110,Toyota,Camry,2011,12
134,Subaru,WRX,2013,12
178,Honda,Oddesy,2009,12
211,Acura,Tsx,2004,12
222,Lexus,Is250,2015,12
23,Subaru,Legacy,1998,10
45,Acura,TL,2006,10
51,Subaru,WRX,2015,10
52,Mazda,Speed 3,2007,10
53,Subaru,WRX,2013,10
56,Volkswagen,Jetta,2009,10
88,Honda,Accord,2008,10
115,Honda,Crv,2001,10
116,Audi,A4,2008,10
140,Mitsu,Evo8,1995,10
161,Nissan,370z,2012,10
189,Toyota,Fj cruiser,2012,10
207,Honda,Civic eG,1993,10
9,Nissan,240,1996,8
17,Mercedes,C43,2016,8
46,Volkswagen,R32,2008,8
59,Volkswagen,Golf,2012,8
100,Volvo,S60r,2006,8
122,Infiniti,M37s,2011,8
142,Toyota,Supra,1993,8
153,Subaru,Brz,2017,8
5,Acura,Rsx,2003,6
10,Nissan,S15,2001,6
78,Mazda,6,2015,6
92,Hyundai,Elantra sport,2017,6
98,Mercedes,C63,2012,6
99,Honda,Civic si,2014,6
145,Volkswagen,Gti,1990,6
162,Nissan,370z,2014,6
172,Bmw,4,2014,6
200,Subaru,WRX,2016,6
219,Ford,Focus rs,2016,6
232,Subaru,WRX,2018,6
237,Volkswagen,Jetta,1987,6
242,Nissan,Maxima,2014,6
4341,Nissan,Rps13,1992,6
Vip,Volkswagen,Gli,2008,4
8,Nissan,Skyline,1991,4
11,Nissan,Skyline,1991,4
14,Nissan,Skyline,1990,4
20,Infiniti,G37,2009,4
86,Volkswagen,Jetta,1996,4
114,Volkswagen,Gti,2010,4
118,Honda,Civic,1993,4
120,Ford,Focus st,2014,4
130,Honda,Civic si,2016,4
138,Mazda,Miata,1990,4
144,Volkswagen,Gti,2016,4
150,Nissan,350z,2006,4
158,Nissan,350z,2007,4
163,Mitsu,Ralliart,2013,4
167,Ford,Mystang,2016,4
177,Volkswagen,Jetta gli,2005,4
181,Volkswagen,Gti,2003,4
183,Volkswagen,Jetta,2005,4
184,Volkswagen,Cc,2010,4
187,Subaru,Legacy,2007,4
193,Nissan,Ssntra,2014,4
225,Acura,TLX,2016,4
230,Acura,Tsx,2004,4
241,Toyota,Camry,2007,4
2,Bmw,M2,2016,2
4,Honda,Civic,2007,2
7,Nissan,Sentra,2014,2
16,Nissan,350z,2008,2
18,Audi,S3,2015,2
19,Mitsu,Evo7,2001,2
22,Honda,Civic,2007,2
24,Subaru,BRZ,2013,2
42,Dodge,Viper,2001,2
66,Volkswagen,Gti,2010,2
67,Subaru,Sti,2015,2
75,Subaru,WRX,2012,2
76,Subaru,Sti,2005,2
85,Honda,Accord,2017,2
89,Honda,Civic si,2014,2
93,Acura,TL,2005,2
96,Volkswagen,Gti,2017,2
159,Hyundai,Gen coupe,2013,2
174,Acura,Rsx,2006,2
176,Mitsu,Lancer,2014,2
182,Volkswagen,Cc,2012,2
186,Volkswagen,Gli,2012,2
220,Audi,A4,2004,2
235,Scion,Frs,2013,2
238,Volkswagen,Rabbit,1982,2
0,Chevy,Camaro,2015,0
1,Subaru,WRX,2012,0
28,Bmw,318xi,1995,0
34,Honda,Fit,2010,0
40,Subaru,Legacy,2007,0
64,Subaru,Forester,2004,0
68,Nissan,Altima,2013,0
69,Subaru,WRX,2018,0
70,Honda,Civic,2014,0
71,Acura,TL,2008,0
72,Honda,Civic si,2016,0
74,Honda,Accord,2015,0
79,Mazda,Miata,1993,0
81,Volkswagen,GTI,2016,0
94,Volkswagen,Gti,2004,0
95,Infiniti,G35,2004,0
101,Honda,Civic,2014,0
102,Honda,Accord,2015,0
108,Audi,S4,2013,0
111,Bmw,328i,2007,0
121,Acura,TL,2012,0
141,Mazda,Miata,1993,0
156,Volkswagen,Gli,2014,0
170,Chevy,Cruze,2014,0
185,Volkswagen,Jett,2013,0
190,Lexus,Sc300,1995,0
197,Audi,A4,2010,0
212,Lexus,Is300,2001,0
226,Honda,Accord,2008,0
243,Toyota,Matrix,2008,0
